bloque,categoria_de_recomendacion,recomendacion,que_dicen_las_guias_del_bloque,consenso_del_bloque,n_guias_con_recomendacion,n_guias_bloque,cobertura,guias_con_recomendacion,accion_dominante_bloque,perfil_acciones_bloque,senal_comparativa_global,prioridad_revision,relevancia_spec,total_recomendaciones_global,recomendaciones_en_bloque
Bloque moderado: AGREE-II 30-<50%,Antipsychotic strategy across illness phases,LAI/depot antipsychotics and adherence,"Mexico/APAL 2014: recomienda (4 recs; recomienda=2; en contra/no hacer=2). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. NICE 2014: considera/sugiere (2 recs; considera/sugiere=1; en contra/no hacer=1). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. G08 2017: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. BAP 2020: considera/sugiere (6 recs; ofrece=1; considera/sugiere=4; evalua/monitoriza=1). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. INTEGRATE 2025: ofrece (3 recs; ofrece=1; considera/sugiere=1; en contra/no hacer=1). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. Sin recomendacion retenida: Peru 2019; G13 2024.",Moderado: 5/7 (71%); discordante; accion dominante: considera/sugiere; recomienda=2; ofrece=2; considera/sugiere=6; en contra/no hacer=4; evalua/monitoriza=2,5,7,71%,BAP 2020; G08 2017; Mexico/APAL 2014; INTEGRATE 2025; NICE 2014,considera/sugiere,recomienda=2; ofrece=2; considera/sugiere=6; en contra/no hacer=4; evalua/monitoriza=2,mixed/discordant,high,core,35,16
Bloque moderado: AGREE-II 30-<50%,Treatment resistance and biological interventions,Clozapine for treatment-resistant schizophrenia,"Mexico/APAL 2014: recomienda (5 recs; recomienda=3; en contra/no hacer=2). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. NICE 2014: ofrece (4 recs; ofrece=3; considera/sugiere=1). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. G08 2017: considera/sugiere (4 recs; considera/sugiere=4). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. BAP 2020: considera/sugiere (3 recs; recomienda=1; considera/sugiere=2). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. INTEGRATE 2025: considera/sugiere (6 recs; recomienda=1; ofrece=2; considera/sugiere=3). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. Sin recomendacion retenida: Peru 2019; G13 2024.",Moderado: 5/7 (71%); discordante; accion dominante: considera/sugiere; recomienda=5; ofrece=5; considera/sugiere=10; en contra/no hacer=2,5,7,71%,BAP 2020; G08 2017; Mexico/APAL 2014; INTEGRATE 2025; NICE 2014,considera/sugiere,recomienda=5; ofrece=5; considera/sugiere=10; en contra/no hacer=2,mixed/discordant,high,core,62,22
Bloque moderado: AGREE-II 30-<50%,Antipsychotic strategy across illness phases,"Dose, titration and adequate trial duration","Mexico/APAL 2014: recomienda (2 recs; recomienda=1; en contra/no hacer=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. NICE 2014: considera/sugiere (5 recs; considera/sugiere=2; en contra/no hacer=2; evalua/monitoriza=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. BAP 2020: recomienda (2 recs; recomienda=1; evalua/monitoriza=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. G13 2024: considera/sugiere (1 rec; considera/sugiere=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. INTEGRATE 2025: considera/sugiere (2 recs; considera/sugiere=1; evalua/monitoriza=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. Sin recomendacion retenida: G08 2017; Peru 2019.",Moderado: 5/7 (71%); discordante; accion dominante: considera/sugiere; recomienda=2; considera/sugiere=4; en contra/no hacer=3; evalua/monitoriza=3,5,7,71%,BAP 2020; G13 2024; Mexico/APAL 2014; INTEGRATE 2025; NICE 2014,considera/sugiere,recomienda=2; considera/sugiere=4; en contra/no hacer=3; evalua/monitoriza=3,mixed/discordant,high,core,28,12
Bloque moderado: AGREE-II 30-<50%,Psychosocial and recovery interventions,CBTp and psychological therapies,"NICE 2014: ofrece (7 recs; recomienda=2; ofrece=4; en contra/no hacer=1). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. BAP 2020: recomienda (2 recs; recomienda=1; ofrece=1). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. INTEGRATE 2025: ofrece (1 rec; ofrece=1). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); discordante; accion dominante: ofrece; recomienda=3; ofrece=6; en contra/no hacer=1,3,7,43%,BAP 2020; INTEGRATE 2025; NICE 2014,ofrece,recomienda=3; ofrece=6; en contra/no hacer=1,mixed/discordant,high,core,29,10
Bloque moderado: AGREE-II 30-<50%,Early psychosis and acute care,First episode psychosis and early intervention,"Mexico/APAL 2014: recomienda (1 rec; recomienda=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. NICE 2014: recomienda (5 recs; recomienda=3; ofrece=1; considera/sugiere=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. G08 2017: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. Peru 2019: recomienda (7 recs; recomienda=4; considera/sugiere=3). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. INTEGRATE 2025: recomienda (1 rec; recomienda=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. Sin recomendacion retenida: BAP 2020; G13 2024.",Moderado: 5/7 (71%); alineado/escaso; accion dominante: recomienda; recomienda=9; ofrece=1; considera/sugiere=4; evalua/monitoriza=1,5,7,71%,G08 2017; Mexico/APAL 2014; INTEGRATE 2025; Peru 2019; NICE 2014,recomienda,recomienda=9; ofrece=1; considera/sugiere=4; evalua/monitoriza=1,broad recurrent theme,medium,core,21,15
Bloque moderado: AGREE-II 30-<50%,Psychosocial and recovery interventions,Family intervention and psychoeducation,"Mexico/APAL 2014: recomienda (1 rec; recomienda=1). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. NICE 2014: ofrece (5 recs; ofrece=4; evalua/monitoriza=1). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. INTEGRATE 2025: recomienda (1 rec; recomienda=1). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); alineado/escaso; accion dominante: ofrece; recomienda=2; ofrece=4; evalua/monitoriza=1,3,7,43%,Mexico/APAL 2014; INTEGRATE 2025; NICE 2014,ofrece,recomienda=2; ofrece=4; evalua/monitoriza=1,broad recurrent theme,medium,core,27,7
Bloque moderado: AGREE-II 30-<50%,Antipsychotic strategy across illness phases,Maintenance treatment and relapse prevention,"Mexico/APAL 2014: recomienda (1 rec; recomienda=1). Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento. Sin recomendacion retenida: 6 guias del bloque.",Escaso: 1/7 (14%); discordante; accion dominante: recomienda; recomienda=1,1,7,14%,Mexico/APAL 2014,recomienda,recomienda=1,mixed/discordant,high,core,20,1
Bloque moderado: AGREE-II 30-<50%,Comorbidity and special populations,"Depression, anxiety, PTSD and trauma","NICE 2014: considera/sugiere (2 recs; considera/sugiere=1; evalua/monitoriza=1). Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique. G13 2024: considera/sugiere (1 rec; considera/sugiere=1). Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique. INTEGRATE 2025: ofrece (2 recs; ofrece=1; considera/sugiere=1). Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); alineado/escaso; accion dominante: considera/sugiere; ofrece=1; considera/sugiere=3; evalua/monitoriza=1,3,7,43%,G13 2024; INTEGRATE 2025; NICE 2014,considera/sugiere,ofrece=1; considera/sugiere=3; evalua/monitoriza=1,broad recurrent theme,medium,supportive,13,5
Bloque moderado: AGREE-II 30-<50%,Antipsychotic strategy across illness phases,Antipsychotic choice and comparative selection,"NICE 2014: recomienda (5 recs; recomienda=4; ofrece=1). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. Peru 2019: recomienda (1 rec; recomienda=1). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. BAP 2020: recomienda (3 recs; recomienda=1; considera/sugiere=1; evalua/monitoriza=1). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. INTEGRATE 2025: considera/sugiere (1 rec; considera/sugiere=1). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. Sin recomendacion retenida: Mexico/APAL 2014; G08 2017; G13 2024.",Moderado: 4/7 (57%); discordante; accion dominante: recomienda; recomienda=6; ofrece=1; considera/sugiere=2; evalua/monitoriza=1,4,7,57%,BAP 2020; INTEGRATE 2025; Peru 2019; NICE 2014,recomienda,recomienda=6; ofrece=1; considera/sugiere=2; evalua/monitoriza=1,mixed/discordant,high,core,19,10
Bloque moderado: AGREE-II 30-<50%,"Safety, adverse effects and physical health","Physical, metabolic and cardiovascular monitoring","NICE 2014: evalua/monitoriza (8 recs; recomienda=2; ofrece=2; considera/sugiere=1; evalua/monitoriza=3). Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas. BAP 2020: considera/sugiere (2 recs; considera/sugiere=1; evalua/monitoriza=1). Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas. INTEGRATE 2025: considera/sugiere (1 rec; considera/sugiere=1). Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); discordante; accion dominante: evalua/monitoriza; recomienda=2; ofrece=2; considera/sugiere=3; evalua/monitoriza=4,3,7,43%,BAP 2020; INTEGRATE 2025; NICE 2014,evalua/monitoriza,recomienda=2; ofrece=2; considera/sugiere=3; evalua/monitoriza=4,mixed/discordant,high,core,26,11
Bloque moderado: AGREE-II 30-<50%,Comorbidity and special populations,Substance use comorbidity,"Mexico/APAL 2014: recomienda (1 rec; recomienda=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. NICE 2014: considera/sugiere (1 rec; considera/sugiere=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. BAP 2020: recomienda (2 recs; recomienda=1; evalua/monitoriza=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. G13 2024: considera/sugiere (1 rec; considera/sugiere=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. INTEGRATE 2025: en contra/no hacer (1 rec; en contra/no hacer=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. Sin recomendacion retenida: G08 2017; Peru 2019.",Moderado: 5/7 (71%); discordante; accion dominante: recomienda; recomienda=2; considera/sugiere=2; en contra/no hacer=1; evalua/monitoriza=1,5,7,71%,BAP 2020; G13 2024; Mexico/APAL 2014; INTEGRATE 2025; NICE 2014,recomienda,recomienda=2; considera/sugiere=2; en contra/no hacer=1; evalua/monitoriza=1,mixed/discordant,high,core,9,6
Bloque moderado: AGREE-II 30-<50%,"Assessment, risk and shared decision-making","Diagnostic assessment, baseline workup and care planning","NICE 2014: evalua/monitoriza (4 recs; ofrece=1; evalua/monitoriza=3). Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados. Peru 2019: recomienda (1 rec; recomienda=1). Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados. BAP 2020: evalua/monitoriza (4 recs; considera/sugiere=1; evalua/monitoriza=3). Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); discordante; accion dominante: evalua/monitoriza; recomienda=1; ofrece=1; considera/sugiere=1; evalua/monitoriza=6,3,7,43%,BAP 2020; Peru 2019; NICE 2014,evalua/monitoriza,recomienda=1; ofrece=1; considera/sugiere=1; evalua/monitoriza=6,mixed/discordant,high,core,25,9
Bloque moderado: AGREE-II 30-<50%,"Safety, adverse effects and physical health",Antipsychotic adverse-effect management,"NICE 2014: considera/sugiere (1 rec; considera/sugiere=1). Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos. G08 2017: considera/sugiere (1 rec; considera/sugiere=1). Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos. Peru 2019: recomienda (1 rec; recomienda=1). Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos. BAP 2020: considera/sugiere (3 recs; recomienda=1; considera/sugiere=2). Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos. Sin recomendacion retenida: Mexico/APAL 2014; G13 2024; INTEGRATE 2025.",Moderado: 4/7 (57%); discordante; accion dominante: considera/sugiere; recomienda=2; considera/sugiere=4,4,7,57%,BAP 2020; G08 2017; Peru 2019; NICE 2014,considera/sugiere,recomienda=2; considera/sugiere=4,mixed/discordant,high,core,19,6
Bloque moderado: AGREE-II 30-<50%,"Safety, adverse effects and physical health","Weight management, lifestyle and metformin","NICE 2014: ofrece (1 rec; ofrece=1). Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo. G13 2024: considera/sugiere (1 rec; considera/sugiere=1). Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo. INTEGRATE 2025: ofrece (2 recs; ofrece=1; en contra/no hacer=1). Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); discordante; accion dominante: ofrece; ofrece=2; considera/sugiere=1; en contra/no hacer=1,3,7,43%,G13 2024; INTEGRATE 2025; NICE 2014,ofrece,ofrece=2; considera/sugiere=1; en contra/no hacer=1,mixed/discordant,high,supportive,12,4
Bloque moderado: AGREE-II 30-<50%,Functional rehabilitation and participation,"Supported employment, education and vocational rehabilitation","NICE 2014: recomienda (6 recs; recomienda=3; ofrece=2; evalua/monitoriza=1). Ofrecer empleo apoyado/IPS a quienes desean trabajar o volver a estudiar/trabajar; considerar apoyo educativo, vocacional o prevocacional si no puede acceder aun a empleo competitivo. INTEGRATE 2025: recomienda (1 rec; recomienda=1). Ofrecer empleo apoyado/IPS a quienes desean trabajar o volver a estudiar/trabajar; considerar apoyo educativo, vocacional o prevocacional si no puede acceder aun a empleo competitivo. Sin recomendacion retenida: 5 guias del bloque.",Bajo: 2/7 (29%); discordante; accion dominante: recomienda; recomienda=4; ofrece=2; evalua/monitoriza=1,2,7,29%,INTEGRATE 2025; NICE 2014,recomienda,recomienda=4; ofrece=2; evalua/monitoriza=1,mixed/discordant,high,supportive,20,7
Bloque moderado: AGREE-II 30-<50%,"Safety, adverse effects and physical health",Smoking cessation and tobacco,"NICE 2014: considera/sugiere (2 recs; considera/sugiere=1; en contra/no hacer=1). Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos. BAP 2020: ofrece (1 rec; ofrece=1). Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos. INTEGRATE 2025: ofrece (2 recs; ofrece=1; evalua/monitoriza=1). Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); discordante; accion dominante: ofrece; ofrece=2; considera/sugiere=1; en contra/no hacer=1; evalua/monitoriza=1,3,7,43%,BAP 2020; INTEGRATE 2025; NICE 2014,ofrece,ofrece=2; considera/sugiere=1; en contra/no hacer=1; evalua/monitoriza=1,mixed/discordant,high,peripheral,9,5
Bloque moderado: AGREE-II 30-<50%,"Service delivery, continuity and implementation","Primary care transition, discharge and follow-up continuity","NICE 2014: ofrece (4 recs; recomienda=1; ofrece=2; considera/sugiere=1). Planificar alta, continuidad y opcion de auto-derivacion; comunicar responsabilidades a atencion primaria; usar equipos de crisis/tratamiento domiciliario para evitar ingresos o facilitar alta segura. G08 2017: considera/sugiere (1 rec; considera/sugiere=1). Planificar alta, continuidad y opcion de auto-derivacion; comunicar responsabilidades a atencion primaria; usar equipos de crisis/tratamiento domiciliario para evitar ingresos o facilitar alta segura. G13 2024: considera/sugiere (2 recs; considera/sugiere=2). Planificar alta, continuidad y opcion de auto-derivacion; comunicar responsabilidades a atencion primaria; usar equipos de crisis/tratamiento domiciliario para evitar ingresos o facilitar alta segura. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 3/7 (43%); alineado/escaso; accion dominante: considera/sugiere; recomienda=1; ofrece=2; considera/sugiere=4,3,7,43%,G13 2024; G08 2017; NICE 2014,considera/sugiere,recomienda=1; ofrece=2; considera/sugiere=4,mostly aligned or sparse,low,supportive,10,7
Bloque moderado: AGREE-II 30-<50%,Treatment resistance and biological interventions,Clozapine safety and monitoring,"BAP 2020: recomienda (2 recs; recomienda=1; evalua/monitoriza=1). Usar clozapina bajo supervision especializada con disponibilidad de laboratorios; monitorizar hemograma, niveles plasmaticos, adherencia y efectos adversos; planificar discontinuacion por riesgo de rebote o recaida. INTEGRATE 2025: ofrece (3 recs; ofrece=2; evalua/monitoriza=1). Usar clozapina bajo supervision especializada con disponibilidad de laboratorios; monitorizar hemograma, niveles plasmaticos, adherencia y efectos adversos; planificar discontinuacion por riesgo de rebote o recaida. Sin recomendacion retenida: 5 guias del bloque.",Bajo: 2/7 (29%); alineado/escaso; accion dominante: ofrece; recomienda=1; ofrece=2; evalua/monitoriza=2,2,7,29%,BAP 2020; INTEGRATE 2025,ofrece,recomienda=1; ofrece=2; evalua/monitoriza=2,mostly aligned or sparse,low,core,9,5
Bloque moderado: AGREE-II 30-<50%,Psychosocial and recovery interventions,"Social skills, recovery and self-management","Mexico/APAL 2014: recomienda (1 rec; recomienda=1). Considerar programas manualizados de automanejo, apoyo de pares y recuperacion; incluir informacion sobre medicacion, recaida y metas; el entrenamiento de habilidades sociales no se recomienda de rutina como intervencion aislada en algunas guias. NICE 2014: considera/sugiere (6 recs; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2). Considerar programas manualizados de automanejo, apoyo de pares y recuperacion; incluir informacion sobre medicacion, recaida y metas; el entrenamiento de habilidades sociales no se recomienda de rutina como intervencion aislada en algunas guias. Sin recomendacion retenida: 5 guias del bloque.",Bajo: 2/7 (29%); discordante; accion dominante: considera/sugiere; recomienda=1; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2,2,7,29%,Mexico/APAL 2014; NICE 2014,considera/sugiere,recomienda=1; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=2,mixed/discordant,high,supportive,18,7
Bloque moderado: AGREE-II 30-<50%,"Service delivery, continuity and implementation","ACT, case management and community service models","NICE 2014: ofrece (2 recs; ofrece=1; considera/sugiere=1). Usar ACT, manejo intensivo de casos o atencion comunitaria coordinada cuando hay mala vinculacion, recaidas frecuentes, disrupcion social, falta de vivienda o alta necesidad de continuidad. Sin recomendacion retenida: 6 guias del bloque.",Escaso: 1/7 (14%); alineado/escaso; accion dominante: ofrece; ofrece=1; considera/sugiere=1,1,7,14%,NICE 2014,ofrece,ofrece=1; considera/sugiere=1,mostly aligned or sparse,low,supportive,16,2
Bloque moderado: AGREE-II 30-<50%,"Assessment, risk and shared decision-making","Risk assessment: suicide, aggression and immediate safety","NICE 2014: recomienda (1 rec; recomienda=1). Evaluar suicidio, autoagresion, agresion, violencia y seguridad inmediata en la valoracion; activar rutas de crisis o guias de autolesion cuando haya riesgo. Sin recomendacion retenida: 6 guias del bloque.",Escaso: 1/7 (14%); alineado/escaso; accion dominante: recomienda; recomienda=1,1,7,14%,NICE 2014,recomienda,recomienda=1,mostly aligned or sparse,low,core,4,1
Bloque moderado: AGREE-II 30-<50%,"Assessment, risk and shared decision-making",Shared decision-making and patient preferences,"NICE 2014: recomienda (3 recs; recomienda=1; ofrece=1; considera/sugiere=1). Tomar decisiones con la persona y, si consiente, cuidadores; discutir beneficios, efectos adversos y preferencias; acordar planes de medicacion, transicion y objetivos de tratamiento. Sin recomendacion retenida: 6 guias del bloque.",Escaso: 1/7 (14%); alineado/escaso; accion dominante: recomienda; recomienda=1; ofrece=1; considera/sugiere=1,1,7,14%,NICE 2014,recomienda,recomienda=1; ofrece=1; considera/sugiere=1,mostly aligned or sparse,low,core,7,3
